hours_id,loc_name,sunday_hours,monday_hours,tuesday_hours,wednesday_hours,thursday_hours,friday_hours,saturday_hours
hours_1,KATY MEMORIAL PHARMACY #MS1001872,Closed,8:30 AM - 5:30 PM,8:30 AM - 5:30 PM,8:30 AM - 5:30 PM,8:30 AM - 5:30 PM,8:30 AM - 5:30 PM,Closed
hours_2,HUMANA PHARMACY - S. RAINBOW,Closed,9:00 AM - 4:00 PM,9:00 AM - 4:00 PM,9:00 AM - 4:00 PM,9:00 AM - 4:00 PM,9:00 AM - 4:00 PM,Closed
hours_3,Walgreens Co. #13871,09:00AM - 05:00PM,08:00AM - 09:00PM,08:00AM - 09:00PM,08:00AM - 09:00PM,08:00AM - 09:00PM,08:00AM - 09:00PM,09:00AM - 06:00PM
hours_4,"CVS Pharmacy, Inc. #02715",08:00AM-10:00PM,08:00AM-10:00PM,08:00AM-10:00PM,08:00AM-10:00PM,08:00AM-10:00PM,08:00AM-10:00PM,08:00AM-10:00PM
hours_5,Walgreens Co. #10175,10:00AM - 06:00PM,09:00AM - 08:00PM,09:00AM - 08:00PM,09:00AM - 08:00PM,09:00AM - 08:00PM,09:00AM - 08:00PM,09:00AM - 06:00PM
hours_6,Walgreens Co. #15948,08:00AM - 09:00PM,08:00AM - 09:00PM,08:00AM - 09:00PM,08:00AM - 09:00PM,08:00AM - 09:00PM,08:00AM - 09:00PM,08:00AM - 09:00PM
hours_7,"CVS Pharmacy, Inc. #18027",10:00AM-04:00PM,09:00AM-09:00PM,09:00AM-09:00PM,09:00AM-09:00PM,09:00AM-09:00PM,09:00AM-09:00PM,09:00AM-06:00PM
hours_8,"CVS Pharmacy, Inc. #16911",11:00AM-05:00PM,10:00AM-07:00PM,10:00AM-07:00PM,10:00AM-07:00PM,10:00AM-07:00PM,10:00AM-07:00PM,11:00AM-05:00PM
hours_9,Walgreens Co. #13844,08:00AM - 10:00PM,08:00AM - 10:00PM,08:00AM - 10:00PM,08:00AM - 10:00PM,08:00AM - 10:00PM,08:00AM - 10:00PM,08:00AM - 10:00PM
hours_10,Walgreens Co. #3125,09:00AM - 05:00PM,09:00AM - 09:00PM,09:00AM - 09:00PM,09:00AM - 09:00PM,09:00AM - 09:00PM,09:00AM - 09:00PM,09:00AM - 06:00PM
hours_11,Publix Super Markets Inc. #672,11:00AM - 6:00PM,9:00AM - 9:00PM,9:00AM - 9:00PM,9:00AM - 9:00PM,9:00AM - 9:00PM,9:00AM - 9:00PM,9:00AM - 7:00PM
hours_12,Walgreens Co. #9295,10:00AM - 06:00PM,08:00AM - 08:00PM,08:00AM - 08:00PM,08:00AM - 08:00PM,08:00AM - 08:00PM,08:00AM - 08:00PM,09:00AM - 06:00PM
hours_13,"CVS Pharmacy, Inc. #18096",10:30AM-04:00PM,08:00AM-08:00PM,08:00AM-08:00PM,08:00AM-08:00PM,08:00AM-08:00PM,08:00AM-08:00PM,09:00AM-06:00PM
hours_14,"CVS Pharmacy, Inc. #06710",10:00AM-06:00PM,08:00AM-10:00PM,08:00AM-10:00PM,08:00AM-10:00PM,08:00AM-10:00PM,08:00AM-10:00PM,09:00AM-06:00PM
hours_15,Kroger Pharmacy #03400137,10:00 AM - 5:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 6:00 PM
hours_16,H-E-B #412,10:00 AM - 05:00 PM,08:00 AM - 08:00 PM,08:00 AM - 08:00 PM,08:00 AM - 08:00 PM,08:00 AM - 08:00 PM,08:00 AM - 08:00 PM,09:00 AM - 06:00 PM
